x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.123198  y : 1.718401  deg : 10.839472
x : 6.236557  y : 0.707953  deg : -0.623510
x : 6.692754  y : 1.323851  deg : 9.388402
x : -nan  y : -nan  deg : -nan
x : 6.488220  y : 1.388622  deg : 9.931448
x : 6.276644  y : 1.065088  deg : -2.717378
x : 6.282841  y : 1.068567  deg : -1.143507
x : 6.257946  y : 1.117487  deg : 0.320780
x : 6.401317  y : 1.296423  deg : 13.960319
x : 6.165659  y : 0.924045  deg : 2.263415
x : 6.076537  y : 0.944125  deg : 3.106056
x : 6.303294  y : 1.402147  deg : 13.179888
x : 5.859617  y : 0.989152  deg : 4.946552
x : 5.779583  y : 0.981999  deg : 3.892159
x : 5.755883  y : 1.007283  deg : 4.076839
x : 5.716391  y : 1.002889  deg : 5.540430
x : 5.788602  y : 0.973305  deg : 3.994213
x : 5.785276  y : 0.974071  deg : 5.009352
x : 5.723870  y : 0.974504  deg : 5.072252
x : 5.619090  y : 0.865561  deg : 4.521665
x : -nan  y : -nan  deg : -nan
x : 5.626080  y : 0.940443  deg : 6.638699
x : 5.678957  y : 1.037766  deg : 0.659998
x : 5.613784  y : 1.163735  deg : -2.998050
x : 5.415458  y : 0.907450  deg : 4.903483
x : 5.463142  y : 0.799134  deg : 3.265076
x : 5.543169  y : 1.268149  deg : 0.948461
x : -nan  y : -nan  deg : -nan
x : 5.530261  y : 1.380099  deg : -6.446613
x : 5.471755  y : 1.059133  deg : -5.729804
x : 5.373738  y : 0.921131  deg : -1.327728
x : 5.371698  y : 0.870841  deg : 0.168301
x : 5.540709  y : 0.815688  deg : -4.349443
x : 5.437886  y : 1.351422  deg : -2.060015
x : -nan  y : -nan  deg : -nan
x : 5.901310  y : 1.468638  deg : 3.016140
x : -nan  y : -nan  deg : -nan
x : 5.429193  y : 0.811460  deg : -0.017988
x : 5.351452  y : 1.235105  deg : -0.251183
x : 5.411497  y : 1.237222  deg : 1.203681
x : 5.534258  y : 0.585079  deg : -3.348468
x : 5.675716  y : 1.311195  deg : 6.571421
x : 5.459203  y : 1.122578  deg : 0.413142
x : 5.479950  y : 1.043906  deg : -1.501303
x : 5.672983  y : 1.376132  deg : 3.401142
x : 5.516887  y : 1.009541  deg : -3.124817
x : 5.538091  y : 0.971027  deg : -2.275291
x : 5.552019  y : 0.982257  deg : -3.363219
x : 5.508785  y : 1.126458  deg : 0.168848
x : 5.563084  y : 0.945568  deg : -3.707171
x : 5.545345  y : 0.927922  deg : -3.207866
x : 5.460801  y : 0.914379  deg : 2.945783
x : 5.645022  y : 1.156792  deg : 9.839208
x : -nan  y : -nan  deg : -nan
x : 5.513609  y : 0.769774  deg : 3.297736
x : -1.137714  y : 1.085776  deg : -0.276315
x : 5.724564  y : 1.226365  deg : 7.177181
x : 5.664039  y : 0.780524  deg : -0.226222
x : 5.613036  y : 0.753978  deg : 3.720066
x : 5.763526  y : 1.103295  deg : 9.991992
x : 5.613051  y : 0.845678  deg : 4.491150
x : 5.577908  y : 0.830741  deg : 4.318814
x : 5.562202  y : 0.826336  deg : 2.274978
x : 5.564829  y : 0.986709  deg : 0.942657
x : 5.568092  y : 0.853630  deg : -1.091703
x : 5.532853  y : 0.916148  deg : 0.128078
x : 5.513076  y : 0.863009  deg : -2.637720
x : 5.493367  y : 0.887633  deg : -1.499757
x : -nan  y : -nan  deg : -nan
x : 5.516638  y : 0.919005  deg : -0.307738
x : 5.532850  y : 1.040807  deg : 2.876767
x : 5.646692  y : 1.143491  deg : -0.915481
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 5.605089  y : 1.159157  deg : -3.577377
x : 5.505905  y : 1.153579  deg : 0.428333
x : 5.383854  y : 1.102204  deg : 2.153901
x : 5.357244  y : 1.167842  deg : -1.090782
x : 5.387989  y : 1.135516  deg : -6.995960
x : -nan  y : -nan  deg : -nan
x : 5.251626  y : 0.982386  deg : -3.919055
x : 5.140657  y : 1.228577  deg : -0.501797
x : 5.165723  y : 1.184440  deg : -3.179978
x : 5.177860  y : 1.014170  deg : -4.266503
x : 5.150641  y : 1.010523  deg : -3.777005
x : 5.031257  y : 1.017705  deg : -1.422067
x : 5.028957  y : 1.032557  deg : 4.335604
x : -nan  y : -nan  deg : -nan
x : 5.144595  y : 1.180568  deg : -4.712658
x : 4.989049  y : 1.022355  deg : -1.754695
x : 4.967351  y : 1.024654  deg : -3.168795
x : -1.765851  y : 0.620303  deg : 29.865596
x : 4.914495  y : 1.059286  deg : -2.447880
x : -nan  y : -nan  deg : -nan
x : -1.748437  y : 0.640783  deg : 28.739252
x : 4.650456  y : 0.991372  deg : 1.762707
x : 4.705556  y : 1.170781  deg : -2.314217
x : -nan  y : -nan  deg : -nan
x : 4.638787  y : 1.402900  deg : -0.904639
x : 4.593620  y : 0.964332  deg : -0.306604
x : 4.572785  y : 1.164949  deg : -2.023485
x : 4.425939  y : 0.839530  deg : 3.281134
x : 4.444693  y : 1.199005  deg : -2.386355
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 4.273903  y : 1.223969  deg : -3.934599
x : 4.265579  y : 1.224059  deg : -3.647971
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 4.297359  y : 1.216722  deg : -1.441005
x : -nan  y : -nan  deg : -nan
