-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
7.993987 0.073564 4.172825
7.994381 0.072813 4.412941
7.995066 0.071655 3.439131
-nan -nan -nan
-nan -nan -nan
7.991096 0.067783 -1.266414
7.991951 0.066205 -1.568429
7.993846 0.066585 -0.719610
7.996207 0.066105 3.283581
-nan -nan -nan
7.990651 0.066277 -0.720618
7.996283 0.065192 4.013410
7.991436 0.067023 -1.217918
7.990836 0.066546 -0.659371
7.991369 0.066476 -1.352252
7.992252 0.065770 -1.281169
7.991430 0.067144 -1.226558
7.991204 0.066741 -0.741722
7.992185 0.066880 -1.335273
7.991732 0.066543 -1.166983
7.990291 0.067344 -1.295751
7.991498 0.067663 -1.088586
7.988964 0.065791 -0.477302
7.988427 0.066856 -0.179293
7.989745 0.066144 -0.436776
7.984100 0.068297 -1.394600
7.982573 0.067493 -1.021830
7.987090 0.066385 0.754819
7.989590 0.066570 -0.612449
7.990434 0.067486 -0.432095
7.987524 0.068085 0.633722
7.989048 0.067653 0.695880
7.988863 0.067237 0.905229
7.990850 0.066779 0.801750
7.990650 0.067451 -0.357968
7.993627 0.067449 1.397789
7.994261 0.067879 0.582367
7.993782 0.067682 1.499139
7.988643 0.067950 0.738302
7.991603 0.067072 0.885632
7.988614 0.066742 -0.568540
7.993516 0.066946 1.282462
7.989679 0.067129 0.490746
7.991134 0.066858 0.553550
7.993248 0.067017 0.002935
7.989603 0.066278 0.665666
7.991218 0.067418 0.921294
7.990967 0.067127 0.413677
7.990753 0.066804 -0.369032
7.990806 0.067115 -0.449942
7.994021 0.066475 0.139511
7.990916 0.067370 -0.570935
7.988793 0.067331 -0.549930
7.990561 0.066691 -0.694612
7.991843 0.067779 -0.137647
7.992107 0.066889 0.979767
7.989221 0.067959 0.762164
7.988291 0.067286 0.621366
7.991058 0.066760 -0.370891
7.991714 0.066122 0.642917
7.989777 0.067022 0.922935
7.991767 0.067349 -0.280593
7.993728 0.066656 0.125384
7.990903 0.067176 -0.287682
7.991830 0.067015 0.950682
7.986790 0.067569 0.312293
7.990167 0.067182 -0.673372
7.991170 0.067523 -0.300006
7.992452 0.067610 1.370549
7.990425 0.068710 -0.316645
7.994039 0.066523 0.120797
7.990744 0.067442 -0.435506
7.991606 0.067634 -0.174874
7.994038 0.067140 0.324544
7.990750 0.066936 -0.382345
7.989894 0.066509 0.640131
7.989133 0.067210 -0.565188
7.991726 0.066230 -0.379215
7.991823 0.067183 -0.310123
7.992055 0.067233 -0.260294
7.993771 0.066683 0.087058
7.994071 0.067019 0.305982
7.990634 0.067540 -0.354851
7.992297 0.067120 -0.202990
7.989980 0.066794 -0.468912
7.988649 0.067988 0.978091
7.989391 0.067197 -0.527904
7.993513 0.066803 0.046408
7.989189 0.066822 0.939789
7.992664 0.067601 1.443677
7.988577 0.067149 0.904234
7.992001 0.067472 1.261423
7.992993 0.067049 -0.034062
7.993435 0.067042 0.092510
7.988737 0.067601 0.958983
7.994420 0.066716 0.280984
7.990045 0.066530 1.009738
7.991163 0.066621 -0.444292
7.993273 0.066710 0.008238
7.992807 0.067036 -0.125676
7.988762 0.066445 -0.650029
7.992824 0.066557 -0.096068
7.991562 0.066744 -0.294870
7.991094 0.066918 -0.419143
7.989126 0.067084 -0.542660
7.992960 0.067543 -0.049852
7.990416 0.067196 -0.383048
7.993871 0.066895 1.734803
7.991900 0.067961 -0.202794
7.992443 0.066676 1.216237
7.990792 0.067111 -0.437615
7.990075 0.067543 -0.390766
7.985420 0.068971 -0.563612
7.990452 0.067122 -0.404271
7.993526 0.066330 0.074220
7.992320 0.067856 1.457623
7.992341 0.067009 -0.229382
7.993031 0.066527 -0.020144
7.994063 0.067166 0.301645
7.991623 0.067544 -0.179849
7.993362 0.067187 0.142736
7.992588 0.067053 -0.192024
7.988645 0.066775 -0.599339
7.989892 0.067325 -0.461431
7.988927 0.066867 -0.597357
7.990229 0.067064 1.039674
7.991616 0.068069 -0.228702
7.992611 0.066413 -0.151612
7.987797 0.068542 -0.405184
7.989196 0.066859 -0.570642
7.991318 0.066981 -0.364625
7.989603 0.067177 -0.451739
7.990784 0.066842 -0.399594
7.988787 0.067483 0.934139
7.991345 0.067854 -0.230970
7.994385 0.067218 0.525397
7.992945 0.067393 -0.023902
7.991602 0.066801 -0.334983
7.992627 0.066668 1.310872
7.993128 0.067625 0.052751
7.989818 0.066701 0.929560
7.989767 0.066817 0.956995
7.989240 0.066489 0.942709
7.989832 0.067643 -0.451212
7.990786 0.067186 1.058833
7.991082 0.067801 -0.256866
7.990859 0.066832 -0.461480
7.993925 0.066927 0.186233
7.991432 0.067797 -0.297410
7.991590 0.066701 -0.313474
7.990182 0.067200 -0.437618
7.990109 0.065959 -0.471500
7.987874 0.067710 -0.596669
7.990636 0.067491 -0.351087
7.992114 0.066885 -0.275819
7.988882 0.067099 0.908570
7.990975 0.067453 -0.379152
7.988438 0.067711 0.939860
7.993578 0.067505 0.184601
7.991994 0.066235 1.141824
7.988281 0.066215 0.786327
7.993336 0.067227 0.161355
7.989913 0.068388 -0.359654
7.989163 0.068036 1.049979
7.988166 0.066671 0.815153
7.992623 0.066590 -0.178570
7.988968 0.066867 0.868207
7.991871 0.067775 1.339157
7.989070 0.066466 0.838496
7.993690 0.066837 0.143430
7.992359 0.066407 -0.186492
7.990851 0.067818 -0.316557
7.990263 0.067000 -0.481319
7.990957 0.066943 -0.306740
7.990650 0.067444 -0.357094
7.991080 0.067029 -0.420206
7.991386 0.066687 1.110066
7.990100 0.067550 -0.412145
7.990578 0.066955 -0.489547
7.992076 0.066986 -0.253912
7.991200 0.068028 -0.378993
7.987862 0.067727 0.910311
7.990897 0.066537 -0.459412
7.992822 0.067123 1.353900
7.992144 0.066618 1.225181
7.989361 0.067556 0.949826
